Age of child in months,parent's screen time,child's screen time,screen time together,relationship_conflict,relationship_closeness
72,1.5,3.5,6,1.89,3.63
82,1,2,1,2.11,3.75
64,3,1,1,1.44,4.38
76,2,1,5,2.33,3.5
83,2.5,3.5,5,2.33,4.38
71,1.5,0.5,0.25,2.78,4.25
38,6,2,3,2.33,3.13
37,1,1,1,2.22,
78,3,1,1,1.67,3.88
45,1,1,1,1.78,3.75
36,5,1,1,2.11,3.5
79,3,1,1,1.78,4.38
37,1,1,1,1.89,4.25
64,1.5,2.5,1.5,1.67,4.25
81,5,5,0,2.22,4.38
49,2.5,2.5,1,2.78,4.38
36,2.5,1,3.5,2.11,4.38
70,0.29,0.63,Sometimes,1.67,4.38
53,2,1,2,2.33,
43,5,6,5,2.22,3.88
50,2,1,1,2.33,4.13
50,2,0,3,2.33,3.63
70,1,1,0,3.22,4.13
78,1,1,1.5,1.22,4.25
